CarName,pricePerDay,availability,carYear
Toyota Camry,50.0,9,2020
Honda Civic,45.0,7,2019
Ford Mustang,80.0,10,2022
Nissan Altima,55.0,5,2021
Chevrolet Malibu,60.0,8,2022
Tesla Model 3,120.0,10,2023
BMW 3 Series,90.0,6,2021
Mercedes-Benz C-Class,95.0,10,2023
Audi A4,85.0,4,2022
Hyundai Sonata,48.0,10,2020
Volkswagen Passat,55.0,6,2021
Lexus ES,100.0,9,2022
Ford Fusion,52.0,7,2020
Chevrolet Impala,58.0,8,2021
Honda Accord,56.0,10,2022
Kia Optima,49.0,6,2021
Mazda6,53.0,9,2020
Subaru Legacy,54.0,7,2022
Acura TLX,75.0,8,2021
Buick Regal,65.0,10,2023
